,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
11420,22:00,23:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11421,22:00,23:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,21.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11422,23:00,00:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11423,23:00,00:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,21.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11424,00:00,01:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11425,00:00,01:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11426,01:00,02:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11427,01:00,02:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,145.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11428,02:00,03:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11429,02:00,03:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11430,03:00,04:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11431,03:00,04:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,145.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11432,04:00,05:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11433,04:00,05:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,146.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11434,05:00,06:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11435,05:00,06:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11436,06:00,07:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11437,06:00,07:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11438,07:00,08:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11439,07:00,08:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11440,08:00,09:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11441,08:00,09:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
